,Unnamed: 0,Price_Category,Number of Bedrooms,County,Rent_Price,Land_Price,Population of County,Average_Value_County,Rent_To_Land_Ratio,Average_Value_Bedroom_Count,vat_internal_€m,paye_income_tax_and_usc_€m,self_employed_income_tax_€m,corporation_tax_€m,capital_gains_tax_€m,Net_Income
131,131,Standard,All bedrooms,Cork,1329.78,17875,584156,1107.281059,0.074393287,1123.136471,1818.53,2259.48,341.84,8467.08,184.82,60620
132,132,Standard,Two bed,Cork,1317.06,17875,584156,1107.281059,0.073681678,1068.4544,1818.53,2259.48,341.84,8467.08,184.82,60620
133,133,Standard,Three bed,Cork,1308.67,17875,584156,1107.281059,0.073212308,1173.547692,1818.53,2259.48,341.84,8467.08,184.82,60620
134,134,Standard,Three bed,Cork,1306.94,17875,584156,1107.281059,0.073115524,1173.547692,1818.53,2259.48,341.84,8467.08,184.82,60620
135,135,Standard,1 to 3 bed,Cork,1305.53,17875,584156,1107.281059,0.073036643,1080.637647,1818.53,2259.48,341.84,8467.08,184.82,60620
136,136,Standard,1 to 3 bed,Cork,1300.26,17875,584156,1107.281059,0.072741818,1080.637647,1818.53,2259.48,341.84,8467.08,184.82,60620
137,137,Standard,All bedrooms,Cork,1295.61,17875,584156,1107.281059,0.072481678,1123.136471,1818.53,2259.48,341.84,8467.08,184.82,60620
138,138,Standard,1 to 2 bed,Cork,1293.65,17875,584156,1107.281059,0.072372028,991.9007407,1818.53,2259.48,341.84,8467.08,184.82,60620
139,139,Standard,1 to 2 bed,Cork,1292.65,17875,584156,1107.281059,0.072316084,991.9007407,1818.53,2259.48,341.84,8467.08,184.82,60620
140,140,Standard,All bedrooms,Cork,1289.43,17875,584156,1107.281059,0.072135944,1123.136471,1818.53,2259.48,341.84,8467.08,184.82,60620
141,141,Standard,Three bed,Cork,1270.26,17875,584156,1107.281059,0.071063497,1173.547692,1818.53,2259.48,341.84,8467.08,184.82,60620
142,142,Standard,Four plus bed,Cork,1270.03,17875,584156,1107.281059,0.071050629,1508.663846,1818.53,2259.48,341.84,8467.08,184.82,60620
143,143,Standard,Three bed,Cork,1267.64,17875,584156,1107.281059,0.070916923,1173.547692,1818.53,2259.48,341.84,8467.08,184.82,60620
144,144,Standard,Two bed,Cork,1262.84,17875,584156,1107.281059,0.070648392,1068.4544,1818.53,2259.48,341.84,8467.08,184.82,60620
145,145,Standard,1 to 3 bed,Cork,1262.24,17875,584156,1107.281059,0.070614825,1080.637647,1818.53,2259.48,341.84,8467.08,184.82,60620
146,146,Standard,1 to 2 bed,Cork,1260.86,17875,584156,1107.281059,0.070537622,991.9007407,1818.53,2259.48,341.84,8467.08,184.82,60620
147,147,Standard,Three bed,Cork,1259.78,17875,584156,1107.281059,0.070477203,1173.547692,1818.53,2259.48,341.84,8467.08,184.82,60620
148,148,Standard,Two bed,Cork,1251.47,17875,584156,1107.281059,0.070012308,1068.4544,1818.53,2259.48,341.84,8467.08,184.82,60620
149,149,Standard,All bedrooms,Cork,1245.05,17875,584156,1107.281059,0.069653147,1123.136471,1818.53,2259.48,341.84,8467.08,184.82,60620
150,150,Standard,1 to 3 bed,Cork,1242.94,17875,584156,1107.281059,0.069535105,1080.637647,1818.53,2259.48,341.84,8467.08,184.82,60620
151,151,Standard,All bedrooms,Cork,1239.0,17875,584156,1107.281059,0.069314685,1123.136471,1818.53,2259.48,341.84,8467.08,184.82,60620
152,152,Standard,1 to 2 bed,Cork,1235.82,17875,584156,1107.281059,0.069136783,991.9007407,1818.53,2259.48,341.84,8467.08,184.82,60620
153,153,Standard,1 to 2 bed,Cork,1229.04,17875,584156,1107.281059,0.068757483,991.9007407,1818.53,2259.48,341.84,8467.08,184.82,60620
154,154,Standard,1 to 3 bed,Cork,1220.57,17875,584156,1107.281059,0.068283636,1080.637647,1818.53,2259.48,341.84,8467.08,184.82,60620
155,155,Standard,All bedrooms,Cork,1208.46,17875,584156,1107.281059,0.067606154,1123.136471,1818.53,2259.48,341.84,8467.08,184.82,60620
156,156,Standard,1 to 2 bed,Cork,1204.5,17875,584156,1107.281059,0.067384615,991.9007407,1818.53,2259.48,341.84,8467.08,184.82,60620
157,157,Standard,All bedrooms,Cork,1201.76,17875,584156,1107.281059,0.067231329,1123.136471,1818.53,2259.48,341.84,8467.08,184.82,60620
158,158,Standard,1 to 3 bed,Cork,1201.01,17875,584156,1107.281059,0.067189371,1080.637647,1818.53,2259.48,341.84,8467.08,184.82,60620
159,159,Standard,Two bed,Cork,1198.62,17875,584156,1107.281059,0.067055664,1068.4544,1818.53,2259.48,341.84,8467.08,184.82,60620
160,160,Standard,All bedrooms,Cork,1187.49,17875,584156,1107.281059,0.066433007,1123.136471,1818.53,2259.48,341.84,8467.08,184.82,60620
